cultivo,tipo_suelo,sistema_riego,area_ha,dias_ciclo,doy_inicio,capacidad_campo,punto_marchitez,prof_raiz_m,et0_promedio_mmdia,et0_maximo_mmdia,lluvia_total_mm,etc_total_mm,kc_promedio,humedad_suelo_promedio,deficit_hidrico_frac,n_riegos,volumen_agua_total_m3_ha,rendimiento_real_ton_ha
Maíz,franco-arenoso,aspersion,76.39,140,327,0.24,0.12,0.65,4.682,7.576,17.55,576.67,0.847,0.2031,0.0,12,7123.07,10.419
Maíz,franco-arcilloso,gravedad,72.78,140,212,0.36,0.2,0.64,5.591,9.379,92.71,605.7,0.847,0.3189,0.0,9,8389.43,8.745
Maíz,franco-arenoso,goteo,47.9,140,61,0.24,0.12,0.6,7.912,10.379,37.31,982.84,0.847,0.1988,0.0,21,10265.54,9.554
Maíz,franco-arcilloso,gravedad,57.99,140,322,0.36,0.2,0.51,4.526,7.574,11.68,555.74,0.847,0.3159,0.0,12,8697.33,10.234
Maíz,franco-arcilloso,gravedad,20.12,140,179,0.36,0.2,0.62,6.766,10.517,133.9,751.7,0.847,0.3204,0.0,13,10285.62,8.815
Maíz,franco-arenoso,gravedad,52.4,140,157,0.24,0.12,0.52,7.551,10.005,234.96,867.7,0.847,0.2042,0.0,17,10103.75,9.105
Maíz,franco,gravedad,73.09,140,262,0.3,0.16,0.56,4.255,6.768,34.63,467.77,0.847,0.2598,0.0,10,6742.12,9.312
Maíz,franco,microaspersion,63.4,140,52,0.3,0.16,0.67,7.611,10.284,53.19,957.24,0.847,0.2549,0.0,15,10105.59,10.427
Maíz,franco-arcilloso,gravedad,34.57,140,24,0.36,0.2,0.59,6.695,10.104,14.44,851.03,0.847,0.3112,0.0,14,13510.17,10.554
Maíz,arcilloso,goteo,54.17,140,55,0.42,0.22,0.68,7.771,10.651,13.23,971.54,0.847,0.3633,0.0,12,9835.27,11.269
Maíz,franco-arenoso,gravedad,24.28,140,85,0.24,0.12,0.45,8.348,10.476,97.97,1025.09,0.847,0.2003,0.0,30,14887.0,10.33
Maíz,franco,gravedad,63.05,140,142,0.3,0.16,0.67,7.906,10.366,130.45,914.93,0.847,0.2574,0.0,15,12758.72,9.578
Maíz,franco-arcilloso,gravedad,77.18,140,9,0.36,0.2,0.54,6.192,10.449,6.08,787.8,0.847,0.3176,0.0,18,11951.38,9.151
Maíz,franco-arcilloso,gravedad,65.55,140,171,0.36,0.2,0.67,7.022,10.468,176.92,791.53,0.847,0.3177,0.0,11,10766.32,11.469
Maíz,arcilloso,gravedad,52.96,140,65,0.42,0.22,0.59,8.055,10.817,61.36,998.68,0.847,0.3576,0.0,13,15245.29,10.727
Maíz,franco-arcilloso,gravedad,13.08,140,289,0.36,0.2,0.66,4.102,6.205,39.64,472.08,0.847,0.3132,0.0,7,6745.96,8.16
Maíz,franco,aspersion,34.83,140,349,0.3,0.16,0.57,5.307,9.114,15.77,668.55,0.847,0.2596,0.0,14,8335.17,10.045
Maíz,franco-arcilloso,aspersion,41.36,140,311,0.36,0.2,0.51,4.27,7.071,1.04,515.54,0.847,0.3175,0.0,12,6812.97,10.634
Maíz,franco,gravedad,58.15,140,170,0.3,0.16,0.7,7.152,10.023,200.02,810.14,0.847,0.2561,0.0,10,8969.75,9.67
Maíz,franco-arenoso,aspersion,62.66,140,230,0.24,0.12,0.69,4.956,9.589,118.26,532.53,0.847,0.2089,0.0,9,5650.19,8.124
Maíz,franco,goteo,66.7,140,186,0.3,0.16,0.54,6.584,9.915,104.38,725.07,0.847,0.2563,0.0,14,6619.71,11.395
Maíz,franco,aspersion,29.39,140,75,0.3,0.16,0.69,8.146,10.141,60.62,1005.1,0.847,0.26,0.0,19,12411.57,10.048
Maíz,arcilloso,gravedad,61.31,140,160,0.42,0.22,0.54,7.322,9.944,97.62,836.11,0.847,0.3629,0.0,12,11107.94,9.655
Maíz,franco-arcilloso,gravedad,54.74,140,176,0.36,0.2,0.58,6.88,10.047,280.62,771.51,0.847,0.3192,0.0,11,7892.01,9.662
Maíz,franco-arcilloso,gravedad,78.34,140,85,0.36,0.2,0.49,8.256,9.85,75.68,1006.39,0.847,0.3057,0.0,19,15125.87,9.602
Maíz,franco-arenoso,goteo,20.43,140,364,0.24,0.12,0.67,5.776,9.462,1.39,735.44,0.847,0.2063,0.0,17,7313.17,10.192
Maíz,arcilloso,aspersion,29.41,140,272,0.42,0.22,0.58,4.163,7.057,26.15,465.11,0.847,0.369,0.0,7,5434.1,9.902
Maíz,franco,aspersion,78.29,140,283,0.3,0.16,0.7,4.239,6.324,17.22,484.28,0.847,0.2595,0.0,8,5934.0,10.9
Maíz,franco-arcilloso,goteo,54.27,140,138,0.36,0.2,0.52,7.906,9.707,208.19,920.37,0.847,0.3115,0.0,14,7412.0,11.846
Maíz,franco-arcilloso,gravedad,71.07,140,315,0.36,0.2,0.61,4.433,7.488,19.37,538.49,0.847,0.3147,0.0,9,8022.41,9.818
Maíz,franco-arcilloso,aspersion,37.25,140,235,0.36,0.2,0.63,4.836,8.117,30.62,522.72,0.847,0.3181,0.0,9,6300.93,10.238
Maíz,franco-arcilloso,goteo,41.5,140,207,0.36,0.2,0.45,5.728,9.4,207.98,623.64,0.847,0.3205,0.0,12,4954.54,9.884
Maíz,franco-arcilloso,gravedad,45.72,140,96,0.36,0.2,0.61,8.379,10.498,195.05,1021.94,0.847,0.3169,0.0,17,13777.23,8.515
Maíz,arcilloso,aspersion,5.14,140,159,0.42,0.22,0.6,7.38,9.974,210.17,845.35,0.847,0.3662,0.0,9,7926.52,10.087
Maíz,franco-arcilloso,gravedad,10.39,140,271,0.36,0.2,0.65,4.151,7.114,22.48,460.39,0.847,0.3201,0.0,8,6403.41,9.25
Maíz,franco-arcilloso,gravedad,40.87,140,206,0.36,0.2,0.64,5.838,9.607,202.24,635.35,0.847,0.3176,0.0,7,6819.57,10.515
Maíz,franco-arcilloso,goteo,56.64,140,84,0.36,0.2,0.62,8.298,10.145,124.01,1015.6,0.847,0.316,0.0,17,9484.59,9.776
Maíz,franco,gravedad,23.36,140,340,0.3,0.16,0.67,5.137,8.911,20.52,649.85,0.847,0.2645,0.0,13,10066.27,9.236
Maíz,arcilloso,gravedad,31.05,140,144,0.42,0.22,0.52,7.826,10.374,142.35,902.67,0.847,0.3629,0.0,13,12423.68,10.972
Maíz,arcilloso,gravedad,40.31,140,8,0.42,0.22,0.51,6.176,9.92,18.61,790.98,0.847,0.363,0.0,13,12363.39,9.663
Maíz,franco,microaspersion,35.04,140,234,0.3,0.16,0.64,4.904,8.28,69.63,531.79,0.847,0.2598,0.0,8,4846.59,10.157
Maíz,franco,gravedad,52.43,140,159,0.3,0.16,0.59,7.436,10.331,156.41,840.83,0.847,0.2585,0.0,14,10496.91,10.34
Maíz,franco,gravedad,68.08,140,88,0.3,0.16,0.64,8.331,10.216,68.78,1017.54,0.847,0.2556,0.0,18,14559.95,10.061
Maíz,arcilloso,gravedad,57.27,140,277,0.42,0.22,0.64,4.201,6.707,16.92,471.86,0.847,0.3661,0.0,6,6686.19,10.654
Maíz,franco-arcilloso,gravedad,78.16,140,151,0.36,0.2,0.68,7.657,10.864,213.66,878.23,0.847,0.3146,0.0,11,10772.08,10.436
Maíz,franco-arcilloso,aspersion,36.85,140,142,0.36,0.2,0.53,7.886,10.412,258.45,911.14,0.847,0.3115,0.0,13,8899.75,9.949
Maíz,arcilloso,gravedad,68.53,140,327,0.42,0.22,0.48,4.771,8.916,16.42,584.77,0.847,0.3688,0.0,11,9342.52,11.162
Maíz,franco-arcilloso,gravedad,22.87,140,206,0.36,0.2,0.6,5.845,9.8,155.45,636.13,0.847,0.3173,0.0,9,8040.07,9.034
Maíz,arcilloso,gravedad,53.7,140,110,0.42,0.22,0.54,8.373,10.244,129.79,1007.72,0.847,0.3545,0.0,13,13858.3,9.771
Maíz,franco-arcilloso,gravedad,16.52,140,302,0.36,0.2,0.51,4.187,6.884,34.25,498.1,0.847,0.3136,0.0,9,7203.02,10.782
Maíz,franco-arcilloso,gravedad,7.06,140,72,0.36,0.2,0.62,8.145,10.102,86.38,1010.22,0.847,0.3165,0.0,18,14447.06,11.041
Maíz,franco,aspersion,12.62,140,203,0.3,0.16,0.52,5.873,9.646,185.27,641.17,0.847,0.2575,0.0,11,6407.88,12.318
Maíz,franco-arcilloso,gravedad,41.47,140,33,0.36,0.2,0.53,7.103,9.797,4.48,897.96,0.847,0.3153,0.0,20,13898.37,9.937
Maíz,franco,gravedad,22.1,140,294,0.3,0.16,0.52,4.103,6.304,7.78,480.51,0.847,0.2585,0.0,11,7769.37,10.039
Maíz,arcilloso,gravedad,23.99,140,304,0.42,0.22,0.55,4.147,6.754,12.63,493.21,0.847,0.3666,0.0,8,7759.49,10.301
Maíz,franco-arcilloso,gravedad,8.88,140,339,0.36,0.2,0.58,4.939,8.465,18.96,620.76,0.847,0.3174,0.0,11,9050.21,9.69
Maíz,franco,aspersion,72.25,140,284,0.3,0.16,0.69,4.045,6.409,9.4,461.01,0.847,0.2627,0.0,8,5549.44,10.126
Maíz,arcilloso,gravedad,71.22,140,214,0.42,0.22,0.52,5.558,8.772,176.38,602.57,0.847,0.3693,0.0,7,7027.35,8.465
Maíz,arcilloso,gravedad,69.25,140,267,0.42,0.22,0.7,4.269,6.427,17.53,474.71,0.847,0.3647,0.0,5,5979.91,8.311
Maíz,franco,gravedad,26.35,140,277,0.3,0.16,0.6,4.146,6.02,21.13,470.77,0.847,0.2633,0.0,11,7159.8,8.976
Maíz,franco-arcilloso,gravedad,73.49,140,23,0.36,0.2,0.62,6.677,9.656,28.78,847.45,0.847,0.3169,0.0,16,12778.86,9.643
Maíz,franco,gravedad,18.42,140,71,0.3,0.16,0.52,8.174,10.213,85.21,1009.23,0.847,0.2554,0.0,22,15329.65,11.193
Maíz,arcilloso,gravedad,32.04,140,345,0.42,0.22,0.66,5.218,9.176,13.33,659.76,0.847,0.363,0.0,8,10413.84,9.856
Maíz,franco,goteo,62.04,140,165,0.3,0.16,0.68,7.185,10.459,196.25,809.07,0.847,0.2568,0.0,10,6319.75,9.747
Maíz,franco,aspersion,74.37,140,347,0.3,0.16,0.58,5.297,8.547,16.82,668.82,0.847,0.2639,0.0,16,8366.24,9.805
Maíz,franco,gravedad,72.75,140,126,0.3,0.16,0.54,8.273,10.222,100.75,975.64,0.847,0.2556,0.0,20,14317.14,9.527
Maíz,franco-arcilloso,goteo,71.44,140,174,0.36,0.2,0.68,6.923,10.083,135.55,778.32,0.847,0.3147,0.0,11,7290.01,10.226
Maíz,franco,gravedad,22.05,140,60,0.3,0.16,0.67,7.939,10.228,39.9,992.24,0.847,0.255,0.0,17,15641.34,10.684
Maíz,arcilloso,gravedad,51.2,140,298,0.42,0.22,0.57,4.222,6.489,7.76,492.92,0.847,0.3664,0.0,7,7089.85,10.736
Maíz,franco-arcilloso,gravedad,47.91,140,139,0.36,0.2,0.58,7.999,10.405,174.54,934.43,0.847,0.309,0.0,13,12384.36,10.627
Maíz,franco,goteo,51.74,140,155,0.3,0.16,0.55,7.618,11.0,186.01,869.93,0.847,0.2555,0.0,15,7436.19,10.021
Maíz,arcilloso,gravedad,70.71,140,211,0.42,0.22,0.69,5.537,9.589,94.46,598.31,0.847,0.3669,0.0,6,7730.25,10.082
Maíz,franco-arenoso,gravedad,45.83,140,249,0.24,0.12,0.52,4.469,7.564,55.45,482.92,0.847,0.2066,0.0,13,6751.53,8.918
Maíz,franco-arcilloso,goteo,23.94,140,123,0.36,0.2,0.6,8.227,10.339,163.57,975.04,0.847,0.3149,0.0,16,8890.4,8.814
Maíz,franco-arcilloso,gravedad,44.69,140,232,0.36,0.2,0.56,4.866,8.403,32.09,518.72,0.847,0.3134,0.0,9,7276.74,11.564
Maíz,franco,aspersion,69.12,140,128,0.3,0.16,0.68,8.078,10.214,130.19,949.3,0.847,0.2612,0.0,16,10465.3,10.431
Maíz,franco-arenoso,gravedad,56.11,140,341,0.24,0.12,0.52,5.084,8.768,8.26,641.07,0.847,0.2054,0.0,19,9960.75,9.295
Maíz,arcilloso,gravedad,60.12,140,207,0.42,0.22,0.5,5.814,8.996,205.23,633.66,0.847,0.3726,0.0,8,6637.5,10.402
Maíz,franco-arenoso,gravedad,41.58,140,142,0.24,0.12,0.55,7.803,9.955,127.68,909.41,0.847,0.2013,0.0,20,12149.02,9.072
Maíz,franco-arcilloso,gravedad,43.15,140,251,0.36,0.2,0.7,4.553,6.939,68.98,502.98,0.847,0.3241,0.0,8,6984.92,10.244
Maíz,franco-arcilloso,gravedad,6.08,140,96,0.36,0.2,0.49,8.37,10.805,145.03,1011.52,0.847,0.3143,0.0,21,13916.98,9.989
Maíz,franco-arcilloso,gravedad,7.25,140,190,0.36,0.2,0.67,6.369,10.184,109.83,702.96,0.847,0.3142,0.0,9,9623.16,11.652
Maíz,arcilloso,gravedad,14.08,140,39,0.42,0.22,0.65,7.247,10.287,19.11,912.31,0.847,0.3689,0.0,13,13601.11,10.096
Maíz,arcilloso,gravedad,30.58,140,307,0.42,0.22,0.47,4.301,6.905,14.21,514.87,0.847,0.3662,0.0,9,7720.84,8.822
Maíz,franco-arcilloso,gravedad,31.13,140,249,0.36,0.2,0.63,4.568,7.74,54.88,496.04,0.847,0.3222,0.0,8,6403.35,11.339
Maíz,franco-arcilloso,gravedad,61.36,140,48,0.36,0.2,0.57,7.526,10.406,31.42,951.94,0.847,0.3118,0.0,17,14508.13,11.236
Maíz,franco-arcilloso,aspersion,5.64,140,293,0.36,0.2,0.58,4.14,5.924,30.85,484.58,0.847,0.3143,0.0,8,5170.74,9.785
Maíz,arcilloso,gravedad,55.63,140,70,0.42,0.22,0.5,8.075,10.303,67.86,1002.85,0.847,0.358,0.0,15,14831.71,9.835
Maíz,franco-arcilloso,gravedad,74.99,140,258,0.36,0.2,0.65,4.355,7.969,62.95,477.46,0.847,0.3202,0.0,7,6368.51,10.317
Maíz,arcilloso,gravedad,23.52,140,221,0.42,0.22,0.67,5.269,9.035,85.44,568.54,0.847,0.3657,0.0,6,7451.7,9.131
Maíz,arcilloso,gravedad,6.45,140,311,0.42,0.22,0.59,4.313,7.845,13.27,518.25,0.847,0.3684,0.0,8,7857.58,11.071
Maíz,franco-arcilloso,gravedad,23.87,140,41,0.36,0.2,0.63,7.335,11.0,16.85,922.6,0.847,0.3174,0.0,18,14683.41,10.731
Maíz,arcilloso,gravedad,43.96,140,140,0.42,0.22,0.54,7.929,10.013,151.2,920.9,0.847,0.3587,0.0,11,11456.61,10.641
Maíz,franco,goteo,23.15,140,52,0.3,0.16,0.6,7.692,10.066,48.3,965.54,0.847,0.2599,0.0,21,9556.6,11.374
Maíz,franco,gravedad,21.08,140,325,0.3,0.16,0.46,4.625,7.797,13.06,573.69,0.847,0.2575,0.0,15,9071.95,10.402
Maíz,arcilloso,aspersion,21.14,140,306,0.42,0.22,0.65,4.291,7.026,20.43,512.03,0.847,0.3663,0.0,6,6036.09,8.171
Maíz,franco-arcilloso,gravedad,18.69,140,234,0.36,0.2,0.49,4.915,8.564,70.81,529.34,0.847,0.3158,0.0,10,7359.66,10.057
Maíz,franco-arenoso,aspersion,47.07,140,23,0.24,0.12,0.54,6.7,9.892,18.13,851.89,0.847,0.2013,0.0,21,10833.26,10.064
Maíz,franco-arenoso,gravedad,56.71,140,137,0.24,0.12,0.48,8.1,10.308,178.35,942.36,0.847,0.205,0.0,26,12722.35,9.833
Maíz,franco-arcilloso,gravedad,51.98,140,14,0.36,0.2,0.62,6.461,9.555,11.88,824.29,0.847,0.3176,0.0,16,13208.61,10.428
Maíz,franco,gravedad,50.06,140,317,0.3,0.16,0.68,4.468,7.391,10.02,542.88,0.847,0.259,0.0,9,8003.79,9.259
Maíz,franco-arenoso,gravedad,65.39,140,34,0.24,0.12,0.58,7.069,9.926,11.27,893.84,0.847,0.2011,0.0,21,13744.88,9.72
Maíz,franco,gravedad,10.14,140,253,0.3,0.16,0.67,4.452,7.318,69.87,480.55,0.847,0.2673,0.0,9,6680.38,9.675
Maíz,franco-arcilloso,gravedad,50.85,140,258,0.36,0.2,0.66,4.35,7.222,68.7,474.58,0.847,0.3174,0.0,7,7148.37,10.148
Maíz,franco-arcilloso,gravedad,16.42,140,3,0.36,0.2,0.46,6.006,9.691,25.69,767.13,0.847,0.314,0.0,19,11670.43,12.495
Maíz,arcilloso,gravedad,21.47,140,315,0.42,0.22,0.69,4.396,7.871,5.33,536.9,0.847,0.3658,0.0,6,8135.08,10.642
Maíz,arcilloso,gravedad,50.25,140,343,0.42,0.22,0.6,5.107,8.726,10.58,644.01,0.847,0.3688,0.0,10,10106.92,9.614
Maíz,franco-arcilloso,gravedad,21.31,140,2,0.36,0.2,0.56,5.905,9.607,42.26,751.02,0.847,0.3198,0.0,16,11367.78,10.303
Maíz,franco-arcilloso,aspersion,77.52,140,187,0.36,0.2,0.47,6.397,9.874,244.36,701.49,0.847,0.3104,0.0,10,6038.83,10.303
Maíz,franco-arcilloso,gravedad,19.17,140,77,0.36,0.2,0.47,8.222,10.075,47.36,1009.35,0.847,0.3119,0.0,23,15181.99,9.069
Maíz,arcilloso,gravedad,49.21,140,322,0.42,0.22,0.47,4.503,8.101,20.96,554.39,0.847,0.3637,0.0,10,8597.86,9.915
Maíz,franco,aspersion,12.78,140,235,0.3,0.16,0.54,4.775,7.884,78.24,512.41,0.847,0.2634,0.0,11,5532.04,10.366
Maíz,franco,gravedad,31.71,140,258,0.3,0.16,0.66,4.401,7.539,29.25,482.5,0.847,0.2611,0.0,8,6510.07,10.191
Maíz,franco,aspersion,49.76,140,355,0.3,0.16,0.62,5.517,8.942,16.07,704.22,0.847,0.262,0.0,14,9565.98,11.157
Maíz,franco-arcilloso,aspersion,56.98,140,99,0.36,0.2,0.52,8.483,10.447,139.08,1026.36,0.847,0.3143,0.0,20,11690.91,10.23
Maíz,arcilloso,goteo,69.62,140,235,0.42,0.22,0.54,4.813,8.711,103.6,517.46,0.847,0.3772,0.0,8,4748.69,10.203
Maíz,franco-arenoso,gravedad,27.01,140,49,0.24,0.12,0.49,7.515,10.234,26.77,945.51,0.847,0.1999,0.0,26,14364.27,9.927
Maíz,franco,gravedad,45.75,140,266,0.3,0.16,0.68,4.29,6.516,31.57,477.23,0.847,0.2626,0.0,8,6416.87,9.357
Maíz,arcilloso,gravedad,22.89,140,341,0.42,0.22,0.46,5.059,8.781,9.16,632.3,0.847,0.3655,0.0,12,9236.7,9.545
Maíz,franco-arcilloso,gravedad,37.33,140,107,0.36,0.2,0.54,8.275,9.891,88.27,993.78,0.847,0.3116,0.0,18,14285.68,9.963
Maíz,franco,goteo,33.71,140,56,0.3,0.16,0.59,7.729,10.071,13.38,968.03,0.847,0.2595,0.0,22,10297.62,10.06
Maíz,franco-arcilloso,gravedad,37.05,140,339,0.36,0.2,0.57,5.026,8.158,14.96,630.0,0.847,0.3195,0.0,13,9559.95,8.275
Maíz,franco-arcilloso,aspersion,76.99,140,118,0.36,0.2,0.6,8.311,10.001,163.44,994.16,0.847,0.3147,0.0,16,10712.67,10.266
Maíz,franco-arcilloso,gravedad,35.29,140,195,0.36,0.2,0.6,6.128,9.604,191.66,671.43,0.847,0.3198,0.0,9,7969.42,10.27
Maíz,arcilloso,gravedad,69.26,140,175,0.42,0.22,0.52,6.946,10.433,135.03,780.48,0.847,0.3707,0.0,12,9864.88,10.372
Maíz,franco-arcilloso,gravedad,63.47,140,255,0.36,0.2,0.6,4.409,7.411,63.0,477.92,0.847,0.3226,0.0,9,6769.49,8.747
Maíz,franco-arcilloso,gravedad,55.17,140,130,0.36,0.2,0.56,8.185,10.332,210.51,956.7,0.847,0.3181,0.0,17,12347.46,9.499
Maíz,franco-arcilloso,gravedad,8.72,140,215,0.36,0.2,0.56,5.5,9.005,145.15,599.48,0.847,0.3183,0.0,9,7401.56,10.302
Maíz,arcilloso,aspersion,70.4,140,10,0.42,0.22,0.66,6.285,10.06,20.06,800.57,0.847,0.3719,0.0,12,10464.92,9.632
Maíz,franco-arcilloso,gravedad,18.42,140,343,0.36,0.2,0.6,5.03,8.678,23.85,629.89,0.847,0.3132,0.0,10,8930.49,10.756
Maíz,arcilloso,gravedad,63.86,140,78,0.42,0.22,0.51,8.169,10.746,54.11,1006.11,0.847,0.36,0.0,16,14983.64,8.548
Maíz,franco-arenoso,gravedad,62.61,140,319,0.24,0.12,0.62,4.412,7.155,10.09,538.6,0.847,0.2037,0.0,12,8679.87,8.359
Maíz,franco-arcilloso,gravedad,25.94,140,150,0.36,0.2,0.59,7.637,9.884,100.69,881.84,0.847,0.3176,0.0,16,12432.85,10.772
Maíz,franco-arenoso,aspersion,8.79,140,361,0.24,0.12,0.51,5.694,9.168,16.68,723.86,0.847,0.2028,0.0,20,9126.95,9.89
Maíz,franco,aspersion,27.06,140,284,0.3,0.16,0.46,4.181,6.024,1.74,479.46,0.847,0.259,0.0,13,6223.93,8.291
Maíz,franco-arcilloso,gravedad,50.27,140,225,0.36,0.2,0.54,5.098,8.754,149.94,547.71,0.847,0.3165,0.0,8,6394.08,8.482
Maíz,franco,gravedad,59.42,140,27,0.3,0.16,0.65,6.798,9.575,19.21,861.76,0.847,0.2565,0.0,15,13171.21,9.339
Maíz,franco-arenoso,goteo,16.4,140,108,0.24,0.12,0.55,8.385,10.405,121.81,1004.67,0.847,0.2017,0.0,23,9785.99,10.523
Maíz,franco,goteo,8.41,140,179,0.3,0.16,0.62,6.727,9.752,166.37,748.71,0.847,0.2634,0.0,13,6504.83,9.87
Maíz,franco-arcilloso,gravedad,53.74,140,269,0.36,0.2,0.64,4.141,6.62,30.9,459.55,0.847,0.3217,0.0,8,6154.54,10.916
Maíz,arcilloso,gravedad,10.83,140,72,0.42,0.22,0.69,8.149,10.205,65.22,1007.26,0.847,0.3653,0.0,13,14137.98,9.332
Maíz,franco,gravedad,44.84,140,130,0.3,0.16,0.5,8.1,10.304,203.58,950.9,0.847,0.2612,0.0,20,11562.12,9.505
Maíz,franco,gravedad,60.61,140,260,0.3,0.16,0.45,4.257,6.881,80.7,464.98,0.847,0.2616,0.0,11,6306.1,9.915
Frijol,arcilloso,microaspersion,42.74,110,211,0.42,0.22,0.66,6.076,8.925,80.89,537.82,0.838,0.364,0.0,6,5267.66,1.833
Frijol,arcilloso,gravedad,57.66,110,96,0.42,0.22,0.6,8.486,10.016,54.98,795.3,0.838,0.3686,0.0,12,11909.74,1.869
Frijol,franco,gravedad,9.22,110,132,0.3,0.16,0.49,8.545,10.205,127.71,794.21,0.838,0.254,0.0,16,10959.4,2.077
Frijol,arcilloso,gravedad,30.83,110,270,0.42,0.22,0.68,4.277,6.992,6.87,374.97,0.838,0.3634,0.0,4,4902.74,2.126
Frijol,franco-arcilloso,goteo,17.2,110,64,0.36,0.2,0.45,7.698,9.566,2.17,734.94,0.838,0.3107,0.0,18,8020.49,1.832
Frijol,arcilloso,gravedad,45.67,110,106,0.42,0.22,0.64,8.498,9.9,38.66,797.21,0.838,0.3567,0.0,10,12166.39,2.038
Frijol,franco-arcilloso,gravedad,74.89,110,345,0.36,0.2,0.63,4.585,6.968,3.89,434.08,0.838,0.3199,0.0,8,6547.56,1.963
Frijol,franco,gravedad,64.1,110,173,0.3,0.16,0.5,7.654,10.452,110.89,690.97,0.838,0.2524,0.0,13,9120.31,2.034
Frijol,arcilloso,gravedad,69.63,110,212,0.42,0.22,0.46,6.122,9.26,169.7,540.64,0.838,0.3673,0.0,7,6337.93,1.575
Frijol,arcilloso,gravedad,66.91,110,329,0.42,0.22,0.49,4.202,6.07,11.32,394.13,0.838,0.3681,0.0,7,5823.92,1.911
Frijol,franco-arcilloso,gravedad,50.18,110,88,0.36,0.2,0.45,8.393,10.402,32.57,791.26,0.838,0.3089,0.0,18,11878.0,2.014
Frijol,arcilloso,gravedad,21.35,110,327,0.42,0.22,0.69,4.212,6.412,9.19,388.37,0.838,0.3694,0.0,5,6275.08,2.228
Frijol,franco,gravedad,69.53,110,300,0.3,0.16,0.6,3.972,5.454,17.05,359.35,0.838,0.2625,0.0,7,4994.48,2.169
Frijol,franco,gravedad,73.9,110,23,0.3,0.16,0.54,6.051,9.009,16.78,583.18,0.838,0.2563,0.0,12,8843.81,2.134
Frijol,arcilloso,gravedad,31.25,110,119,0.42,0.22,0.69,8.613,10.199,101.38,803.27,0.838,0.362,0.0,8,10639.16,2.1
Frijol,franco-arenoso,gravedad,14.35,110,337,0.24,0.12,0.53,4.393,7.634,7.45,413.16,0.838,0.2023,0.0,10,5941.5,1.972
Frijol,franco-arcilloso,microaspersion,72.99,110,167,0.36,0.2,0.49,7.755,10.239,134.49,699.82,0.838,0.3131,0.0,13,6505.03,1.846
Frijol,franco-arcilloso,aspersion,57.12,110,3,0.36,0.2,0.49,5.279,8.93,19.16,503.67,0.838,0.3114,0.0,10,6206.46,2.031
