id_parcela,nombre_parcela,modulo_dr041,superficie_ha,cultivo_actual,sistema_riego_2025,sistema_riego_2026,eficiencia_riego_2025,eficiencia_riego_2026,tipo_suelo,conductividad_electrica,profundidad_raiz_cm,capacidad_campo,punto_marchitez,latitud,longitud,activo,adopcion_milpin,anio_registro
PAR-021,Parcela PAR-021,Modulo 3C,34.6,Frijol,Microaspersion,Aspersion,0.82,0.8,Limoso,1.1,90,0.379,0.154,27.72,-109.97,True,True,2025
PAR-022,Parcela PAR-022,Modulo 3B,27.1,Chile,Aspersion,Goteo,0.8,0.9,Franco-arenoso,3.23,40,0.298,0.138,27.72,-110.24,True,True,2025
PAR-023,Parcela PAR-023,Modulo 3B,19.1,Maiz,Gravedad,Aspersion,0.65,0.8,Limoso,2.48,50,0.404,0.144,27.74,-110.22,True,True,2025
PAR-024,Parcela PAR-024,Modulo 3B,40.3,Frijol,Microaspersion,Gravedad,0.82,0.65,Franco-arcilloso,2.91,70,0.305,0.175,27.66,-109.72,True,True,2025
PAR-025,Parcela PAR-025,Modulo 3C,11.4,Algodon,Gravedad,Gravedad,0.65,0.65,Franco-arcilloso,2.07,50,0.334,0.122,27.67,-110.04,True,True,2025
PAR-026,Parcela PAR-026,Modulo 3C,13.9,Frijol,Gravedad,Gravedad,0.65,0.65,Franco,0.99,60,0.336,0.137,27.39,-110.0,True,True,2025
PAR-027,Parcela PAR-027,Modulo 3C,9.6,Maiz,Gravedad,Goteo,0.65,0.9,Arcillo-limoso,1.52,40,0.305,0.178,27.54,-110.13,True,True,2025
PAR-028,Parcela PAR-028,Modulo 3B,29.2,Uva,Aspersion,Aspersion,0.8,0.8,Limoso,1.31,40,0.296,0.174,27.61,-110.41,True,True,2025
PAR-029,Parcela PAR-029,Modulo 3C,22.3,Algodon,Gravedad,Goteo,0.65,0.9,Arcillo-limoso,1.14,60,0.367,0.16,27.48,-109.88,True,True,2025
PAR-030,Parcela PAR-030,Modulo 3C,32.9,Uva,Aspersion,Goteo,0.8,0.9,Limoso,3.34,90,0.298,0.145,27.63,-110.27,True,True,2025
PAR-031,Parcela PAR-031,Modulo 3D,26.9,Uva,Gravedad,Microaspersion,0.65,0.82,Franco-arcilloso,2.92,80,0.323,0.133,27.57,-110.04,True,True,2025
PAR-032,Parcela PAR-032,Modulo 3B,25.4,Frijol,Gravedad,Microaspersion,0.65,0.82,Franco,2.59,80,0.372,0.137,27.38,-109.76,True,True,2025
PAR-033,Parcela PAR-033,Modulo 3D,14.0,Algodon,Microaspersion,Goteo,0.82,0.9,Franco,3.46,80,0.301,0.123,27.69,-110.35,True,True,2025
PAR-034,Parcela PAR-034,Modulo 3A,12.8,Chile,Gravedad,Gravedad,0.65,0.65,Franco-arenoso,2.57,40,0.349,0.135,27.72,-109.72,True,True,2025
PAR-035,Parcela PAR-035,Modulo 3C,13.8,Uva,Gravedad,Gravedad,0.65,0.65,Limoso,3.28,40,0.345,0.153,27.45,-109.77,True,True,2025
PAR-036,Parcela PAR-036,Modulo 3C,29.5,Uva,Gravedad,Microaspersion,0.65,0.82,Limoso,2.0,50,0.34,0.174,27.63,-110.03,True,True,2025
PAR-037,Parcela PAR-037,Modulo 3B,38.6,Frijol,Gravedad,Aspersion,0.65,0.8,Arcillo-limoso,2.49,60,0.387,0.151,27.44,-109.84,True,True,2025
PAR-038,Parcela PAR-038,Modulo 3D,18.4,Algodon,Gravedad,Goteo,0.65,0.9,Limoso,1.83,50,0.291,0.129,27.6,-110.36,True,True,2025
PAR-039,Parcela PAR-039,Modulo 3D,26.7,Algodon,Gravedad,Gravedad,0.65,0.65,Franco-arenoso,1.85,80,0.289,0.17,27.75,-110.39,True,True,2025
PAR-040,Parcela PAR-040,Modulo 3B,5.2,Uva,Gravedad,Aspersion,0.65,0.8,Arcillo-limoso,3.21,70,0.322,0.143,27.5,-109.82,True,True,2025
PAR-041,Parcela PAR-041,Modulo 3B,13.8,Uva,Gravedad,Microaspersion,0.65,0.82,Franco-arenoso,2.61,70,0.348,0.143,27.61,-109.74,True,True,2025
PAR-042,Parcela PAR-042,Modulo 3A,26.4,Chile,Aspersion,Microaspersion,0.8,0.82,Franco-arenoso,1.03,70,0.363,0.16,27.26,-110.04,True,True,2025
PAR-043,Parcela PAR-043,Modulo 3C,20.2,Algodon,Microaspersion,Goteo,0.82,0.9,Franco,3.18,60,0.344,0.14,27.63,-109.74,True,True,2025
PAR-044,Parcela PAR-044,Modulo 3A,23.8,Maiz,Gravedad,Aspersion,0.65,0.8,Limoso,1.41,40,0.287,0.177,27.65,-109.89,True,True,2025
PAR-045,Parcela PAR-045,Modulo 3C,13.0,Frijol,Aspersion,Microaspersion,0.8,0.82,Franco-arcilloso,2.08,40,0.367,0.134,27.52,-110.24,True,True,2025
PAR-046,Parcela PAR-046,Modulo 3A,11.7,Algodon,Gravedad,Goteo,0.65,0.9,Limoso,2.9,50,0.415,0.163,27.76,-110.32,True,True,2025
PAR-047,Parcela PAR-047,Modulo 3C,28.0,Algodon,Microaspersion,Aspersion,0.82,0.8,Franco-arenoso,1.01,90,0.336,0.163,27.68,-110.22,True,True,2025
PAR-048,Parcela PAR-048,Modulo 3A,37.2,Chile,Aspersion,Gravedad,0.8,0.65,Limoso,1.96,60,0.39,0.141,27.22,-109.89,True,True,2025
PAR-049,Parcela PAR-049,Modulo 3C,37.9,Uva,Gravedad,Goteo,0.65,0.9,Franco-arcilloso,3.21,70,0.341,0.142,27.6,-110.06,True,True,2025
PAR-050,Parcela PAR-050,Modulo 3A,37.3,Chile,Aspersion,Gravedad,0.8,0.65,Limoso,3.03,80,0.388,0.148,27.34,-109.73,True,True,2025
PAR-051,Parcela PAR-051,Modulo 3B,40.3,Algodon,Gravedad,Gravedad,0.65,0.65,Franco,2.6,60,0.385,0.154,27.2,-109.73,True,True,2025
PAR-052,Parcela PAR-052,Modulo 3B,13.5,Uva,Aspersion,Goteo,0.8,0.9,Arcillo-limoso,2.69,60,0.328,0.173,27.51,-110.0,True,True,2025
PAR-053,Parcela PAR-053,Modulo 3A,14.7,Maiz,Microaspersion,Microaspersion,0.82,0.82,Franco-arenoso,2.66,90,0.348,0.165,27.61,-110.05,True,True,2025
PAR-054,Parcela PAR-054,Modulo 3C,16.8,Maiz,Gravedad,Aspersion,0.65,0.8,Franco-arenoso,2.37,70,0.377,0.138,27.51,-110.13,True,True,2025
PAR-055,Parcela PAR-055,Modulo 3B,33.1,Algodon,Goteo,Goteo,0.9,0.9,Arcillo-limoso,2.75,60,0.323,0.134,27.25,-109.98,True,True,2025
PAR-056,Parcela PAR-056,Modulo 3B,13.7,Frijol,Goteo,Goteo,0.9,0.9,Franco-arenoso,2.85,80,0.319,0.155,27.35,-110.33,True,True,2025
PAR-057,Parcela PAR-057,Modulo 3B,14.1,Algodon,Gravedad,Gravedad,0.65,0.65,Franco,1.14,40,0.322,0.162,27.76,-109.97,True,True,2025
PAR-058,Parcela PAR-058,Modulo 3D,9.1,Uva,Gravedad,Goteo,0.65,0.9,Franco-arcilloso,1.99,50,0.36,0.148,27.76,-110.21,True,True,2025
PAR-059,Parcela PAR-059,Modulo 3C,37.9,Maiz,Gravedad,Microaspersion,0.65,0.82,Franco-arenoso,2.65,50,0.349,0.155,27.27,-109.96,True,True,2025
PAR-060,Parcela PAR-060,Modulo 3D,44.8,Maiz,Gravedad,Microaspersion,0.65,0.82,Franco-arcilloso,2.41,80,0.358,0.145,27.32,-109.99,True,True,2025
PAR-061,Parcela PAR-061,Modulo 3B,16.9,Uva,Aspersion,Aspersion,0.8,0.8,Limoso,2.48,80,0.419,0.138,27.76,-110.33,True,True,2025
PAR-062,Parcela PAR-062,Modulo 3D,15.6,Frijol,Gravedad,Microaspersion,0.65,0.82,Franco-arcilloso,1.0,40,0.302,0.13,27.43,-109.86,True,True,2025
PAR-063,Parcela PAR-063,Modulo 3B,6.3,Algodon,Goteo,Microaspersion,0.9,0.82,Arcillo-limoso,2.03,90,0.379,0.162,27.32,-110.2,True,True,2025
PAR-064,Parcela PAR-064,Modulo 3C,9.6,Uva,Microaspersion,Aspersion,0.82,0.8,Franco,3.03,40,0.371,0.175,27.22,-109.78,True,True,2025
PAR-065,Parcela PAR-065,Modulo 3D,10.0,Uva,Microaspersion,Gravedad,0.82,0.65,Arcillo-limoso,2.15,70,0.378,0.177,27.44,-109.93,True,True,2025
PAR-066,Parcela PAR-066,Modulo 3C,29.1,Algodon,Gravedad,Goteo,0.65,0.9,Franco-arcilloso,3.06,80,0.293,0.178,27.53,-110.39,True,True,2025
PAR-067,Parcela PAR-067,Modulo 3D,6.6,Chile,Gravedad,Microaspersion,0.65,0.82,Franco,3.27,50,0.346,0.159,27.78,-110.06,True,True,2025
PAR-068,Parcela PAR-068,Modulo 3D,23.8,Maiz,Microaspersion,Aspersion,0.82,0.8,Franco-arenoso,3.12,60,0.327,0.16,27.43,-110.01,True,True,2025
PAR-069,Parcela PAR-069,Modulo 3A,6.5,Chile,Goteo,Gravedad,0.9,0.65,Franco-arcilloso,3.42,70,0.324,0.139,27.7,-109.75,True,True,2025
PAR-070,Parcela PAR-070,Modulo 3C,23.5,Chile,Gravedad,Aspersion,0.65,0.8,Franco-arcilloso,2.84,90,0.306,0.142,27.45,-110.37,True,True,2025
PAR-071,Parcela PAR-071,Modulo 3B,10.2,Chile,Aspersion,Gravedad,0.8,0.65,Arcillo-limoso,1.13,90,0.341,0.162,27.55,-110.22,True,True,2025
PAR-072,Parcela PAR-072,Modulo 3B,27.0,Algodon,Gravedad,Aspersion,0.65,0.8,Limoso,3.07,40,0.337,0.133,27.46,-110.32,True,True,2025
PAR-073,Parcela PAR-073,Modulo 3D,42.3,Uva,Microaspersion,Aspersion,0.82,0.8,Arcillo-limoso,3.05,70,0.351,0.136,27.33,-109.97,True,True,2025
PAR-074,Parcela PAR-074,Modulo 3C,41.9,Frijol,Gravedad,Goteo,0.65,0.9,Limoso,0.99,70,0.384,0.128,27.38,-109.78,True,True,2025
PAR-075,Parcela PAR-075,Modulo 3C,16.3,Maiz,Gravedad,Aspersion,0.65,0.8,Arcillo-limoso,2.58,50,0.397,0.155,27.45,-110.02,True,True,2025
PAR-076,Parcela PAR-076,Modulo 3D,35.5,Chile,Gravedad,Microaspersion,0.65,0.82,Franco-arenoso,1.31,90,0.344,0.139,27.32,-110.1,True,True,2025
PAR-077,Parcela PAR-077,Modulo 3B,17.7,Maiz,Gravedad,Microaspersion,0.65,0.82,Franco-arenoso,1.84,90,0.379,0.169,27.66,-109.89,True,True,2025
PAR-078,Parcela PAR-078,Modulo 3A,43.6,Uva,Gravedad,Aspersion,0.65,0.8,Franco,3.15,70,0.35,0.155,27.24,-109.68,True,True,2025
PAR-079,Parcela PAR-079,Modulo 3C,21.4,Frijol,Gravedad,Aspersion,0.65,0.8,Franco,1.52,80,0.29,0.167,27.6,-109.89,True,True,2025
PAR-080,Parcela PAR-080,Modulo 3C,20.2,Chile,Gravedad,Goteo,0.65,0.9,Arcillo-limoso,2.12,80,0.368,0.173,27.2,-110.36,True,True,2025
