id_recomendacion,id_parcela,id_ciclo,fecha_generacion,fecha_riego_sugerida,lamina_recomendada_mm,eto_referencia,etc_calculada,deficit_acumulado_mm,nivel_urgencia,algoritmo_version,aceptada,ahorro_estimado_m3,ahorro_mxn,ahorro_kwh,prioridad_tecnificacion,migracion_sugerida,score_optimizacion,confianza_modelo,explicacion_ia
89e29544-b67f-4cea-9729-eec0ef740af6,PAR-001,CIC-2026-PV,2026-08-16,2026-08-20,30.66,7.76,6.829,22.23,Media,MILPIN-v1.2,aceptada,1178.6,1980.05,363.72,Baja,Aspersion -> Goteo,0.75,0.84,Optimizacion turno nocturno 22-06 h: reduce evaporacion estimada 12-15%. Deficit actual 22.2 mm.
6f51e1d0-4bfe-4a2f-a49b-554dde6e5d86,PAR-001,CIC-2026-PV,2026-06-25,2026-06-27,13.22,8.79,8.122,5.39,Media,MILPIN-v1.3,aceptada,507.7,852.94,156.68,Baja,Gravedad -> Goteo,0.78,0.78,Deficit acumulado 5.4 mm supera umbral critico. Riego urgente antes de 4 dias para evitar dano.
6494952b-6e78-4380-a054-2354065c2054,PAR-001,CIC-2026-PV,2026-07-29,2026-07-30,24.05,8.25,7.178,15.27,Media,MILPIN-v1.2,aceptada,926.5,1556.52,285.92,Baja,Mantener sistema actual,0.95,0.88,Deficit acumulado 15.3 mm supera umbral critico. Riego urgente antes de 2 dias para evitar dano.
52976704-787a-441b-a41e-8e5e56335701,PAR-002,CIC-2025-PV,2025-04-03,2025-04-08,20.81,7.3,5.001,14.94,Alta,MILPIN-v1.2,modificada,601.2,1010.02,185.53,Baja,Gravedad -> Microaspersion,0.59,0.66,Deficit acumulado 14.9 mm supera umbral critico. Riego urgente antes de 3 dias para evitar dano.
fdd7c887-2480-47ed-b63a-f392e3d361db,PAR-002,CIC-2025-PV,2025-05-31,2025-06-02,12.47,8.28,5.879,7.22,Baja,MILPIN-v1.2,aceptada,359.1,603.29,110.82,Media,Aspersion -> Goteo,0.42,0.69,Deficit acumulado 7.2 mm supera umbral critico. Riego urgente antes de 6 dias para evitar dano.
ac2f0fd6-d911-4ca4-9caa-a260b3a91ab6,PAR-002,CIC-2025-PV,2025-07-25,2025-07-27,26.79,8.24,3.131,19.17,Alta,MILPIN-v1.3,rechazada,771.4,1295.95,238.05,Media,Microaspersion -> Goteo,0.34,0.61,Score optimizacion 0.34: migracion Microaspersion -> Goteo proyecta ahorro 9% consumo anual con payback < 2 ciclos.
8a230785-ed46-42df-bd52-811e6f643f67,PAR-002,CIC-2025-PV,2025-05-07,2025-05-09,34.63,8.54,9.565,25.46,Baja,MILPIN-v1.3,rechazada,997.5,1675.8,307.83,Media,Aspersion -> Goteo,0.58,0.72,Score optimizacion 0.58: migracion Aspersion -> Goteo proyecta ahorro 9% consumo anual con payback < 2 ciclos.
fbe67063-bf40-42c0-af60-90d4f018c7aa,PAR-002,CIC-2025-OI,2026-03-03,2026-03-06,36.55,6.27,2.257,27.16,Media,MILPIN-v1.3,modificada,1053.4,1769.71,325.08,Alta,Aspersion -> Goteo,0.39,0.67,Optimizacion turno nocturno 22-06 h: reduce evaporacion estimada 12-15%. Deficit actual 27.2 mm.
c07f35b6-b508-4b94-8a23-c8e2a3c102a5,PAR-002,CIC-2025-OI,2025-10-25,2025-10-26,27.61,5.11,1.942,23.2,Media,MILPIN-v1.2,aceptada,795.3,1336.1,245.43,Media,Mantener sistema actual,0.36,0.61,FAO-56 detecta inicio etapa media con Kc=0.38. Incrementar lamina un 9% respecto evento anterior.
1ba7d1ff-cac9-4619-8e96-1d96579df48b,PAR-002,CIC-2025-OI,2026-03-27,2026-03-28,34.72,5.88,2.058,26.57,Media,MILPIN-v2.0,modificada,1000.2,1680.34,308.66,Baja,Gravedad -> Goteo,0.66,0.53,Patron historico + indices climaticos: riego optimo en 2 dias evita estres hidrico en etapa Final.
64b5bbd6-def4-40c8-89f5-091d89541b2f,PAR-002,CIC-2026-PV,2026-10-03,2026-10-08,33.15,5.09,1.629,26.49,Alta,MILPIN-v1.3,modificada,957.6,1608.77,295.52,Media,Aspersion -> Goteo,0.78,0.93,Optimizacion turno nocturno 22-06 h: reduce evaporacion estimada 12-15%. Deficit actual 26.5 mm.
2067d0f6-33bc-4e90-bb33-084b281d444c,PAR-002,CIC-2026-PV,2026-04-04,2026-04-08,20.25,7.64,5.959,13.1,Media,MILPIN-v2.0,aceptada,585.2,983.14,180.59,Baja,Gravedad -> Microaspersion,0.78,0.86,ETo proyectada 7.6 mm/dia (horizonte 7 dias). Kc=0.78 etapa Desarrollo. Aplicar lamina 20 mm.
d0db10e6-9c54-4bee-8925-e6073342ad00,PAR-002,CIC-2026-PV,2026-03-10,2026-03-12,29.76,5.91,2.482,21.01,Media,MILPIN-v1.3,aceptada,856.5,1438.92,264.32,Alta,Gravedad -> Goteo,0.87,0.92,FAO-56 detecta inicio etapa media con Kc=0.42. Incrementar lamina un 9% respecto evento anterior.
6f8fbe57-d453-4538-bae7-2c3dc0d8ba1e,PAR-002,CIC-2026-PV,2026-05-23,2026-05-28,32.31,8.55,8.807,26.91,Media,MILPIN-v2.0,aceptada,931.0,1564.08,287.31,Baja,Microaspersion -> Goteo,0.82,0.8,ETo proyectada 8.6 mm/dia (horizonte 7 dias). Kc=1.03 etapa Final. Aplicar lamina 32 mm.
b8a0def1-6407-435c-96c2-26ae01421314,PAR-002,CIC-2026-PV,2026-03-11,2026-03-15,28.47,5.98,2.272,22.59,Media,MILPIN-v1.2,aceptada,821.9,1380.79,253.64,Baja,Mantener sistema actual,0.74,0.97,Patron historico + indices climaticos: riego optimo en 5 dias evita estres hidrico en etapa Inicial.
b992060f-1b6f-48e8-99f3-f0fa1da99aa0,PAR-002,CIC-2026-PV,2026-03-06,2026-03-11,27.27,5.97,2.507,20.78,Media,MILPIN-v1.2,aceptada,787.4,1322.83,242.99,Baja,Gravedad -> Microaspersion,0.92,0.9,Optimizacion turno nocturno 22-06 h: reduce evaporacion estimada 12-15%. Deficit actual 20.8 mm.
6ebc9760-e36d-4114-b2dd-6ca1cc60b3aa,PAR-002,CIC-2026-PV,2026-09-27,2026-10-02,20.65,6.23,2.367,15.63,Media,MILPIN-v2.0,aceptada,595.8,1000.94,183.86,Alta,Mantener sistema actual,0.8,0.96,Score optimizacion 0.80: migracion Mantener sistema actual proyecta ahorro 9% consumo anual con payback < 2 ciclos.
bf3bf73b-e8e2-41fa-9d43-cfdda368358c,PAR-003,CIC-2025-PV,2025-05-19,2025-05-24,20.82,8.34,9.591,12.27,Baja,MILPIN-v1.2,aceptada,649.7,1091.5,200.5,Alta,Gravedad -> Microaspersion,0.63,0.62,Balance hidrico acumulado indica deficit de 12.3 mm. Riego preventivo recomendado en 3 dias.
29f7e593-8643-4e9c-88f0-030d3d90c64e,PAR-003,CIC-2025-PV,2025-06-16,2025-06-18,21.07,8.68,3.385,14.2,Alta,MILPIN-v1.2,sin_respuesta,657.7,1104.94,202.97,Alta,Gravedad -> Microaspersion,0.53,0.39,Optimizacion turno nocturno 22-06 h: reduce evaporacion estimada 12-15%. Deficit actual 14.2 mm.
efe50ab7-8195-4bfe-ba69-441efdc7e1fa,PAR-003,CIC-2025-PV,2025-03-06,2025-03-11,17.03,6.05,2.601,9.37,Media,MILPIN-v2.0,aceptada,531.4,892.75,163.99,Media,Aspersion -> Goteo,0.57,0.56,Optimizacion turno nocturno 22-06 h: reduce evaporacion estimada 12-15%. Deficit actual 9.4 mm.
d8197463-f6f7-45d4-aaa4-4789e854e119,PAR-003,CIC-2025-PV,2025-05-12,2025-05-13,28.01,8.44,9.706,24.91,Alta,MILPIN-v2.0,sin_respuesta,873.8,1467.98,269.65,Media,Gravedad -> Goteo,0.46,0.55,Balance hidrico acumulado indica deficit de 24.9 mm. Riego preventivo recomendado en 3 dias.
3c8a6151-02d1-48d3-8275-e22388e1e1bb,PAR-003,CIC-2025-PV,2025-09-06,2025-09-10,27.71,6.43,2.379,18.62,Baja,MILPIN-v1.2,rechazada,864.3,1452.02,266.72,Baja,Gravedad -> Microaspersion,0.33,0.63,FAO-56 detecta inicio etapa media con Kc=0.37. Incrementar lamina un 28% respecto evento anterior.
a79aabf5-5542-4e8a-82c9-b86adbedeec7,PAR-003,CIC-2025-PV,2025-05-11,2025-05-16,26.36,8.46,9.56,17.45,Media,MILPIN-v1.2,sin_respuesta,822.0,1380.96,253.67,Baja,Microaspersion -> Goteo,0.54,0.54,Deficit acumulado 17.4 mm supera umbral critico. Riego urgente antes de 2 dias para evitar dano.
f9210a6c-5bd9-4ca8-8658-5a81867be971,PAR-003,CIC-2025-OI,2025-12-05,2025-12-09,13.14,3.41,3.683,5.72,Alta,MILPIN-v1.3,aceptada,410.3,689.3,126.62,Alta,Gravedad -> Microaspersion,0.58,0.52,FAO-56 detecta inicio etapa media con Kc=1.08. Incrementar lamina un 28% respecto evento anterior.
57294003-87e0-4b40-89ba-f5629a676db7,PAR-003,CIC-2025-OI,2026-03-27,2026-04-01,16.71,5.93,2.313,11.31,Baja,MILPIN-v1.3,rechazada,521.2,875.62,160.84,Alta,Aspersion -> Goteo,0.47,0.72,Balance hidrico acumulado indica deficit de 11.3 mm. Riego preventivo recomendado en 4 dias.
98e3cb1d-9e48-4936-935b-1fd87dfb0fe9,PAR-003,CIC-2025-OI,2025-11-26,2025-11-27,27.85,3.69,3.007,18.74,Alta,MILPIN-v1.2,aceptada,869.4,1460.59,268.3,Media,Aspersion -> Goteo,0.61,0.73,Optimizacion turno nocturno 22-06 h: reduce evaporacion estimada 12-15%. Deficit actual 18.7 mm.
aa01b91c-7563-47c4-b3a1-5cfd0bbf0670,PAR-003,CIC-2025-OI,2025-12-24,2025-12-26,20.33,3.3,3.894,11.78,Alta,MILPIN-v2.0,aceptada,634.4,1065.79,195.78,Alta,Gravedad -> Microaspersion,0.66,0.5,FAO-56 detecta inicio etapa media con Kc=1.18. Incrementar lamina un 28% respecto evento anterior.
ba01d4ec-d61a-41cd-9c27-2a1f6e5551ca,PAR-003,CIC-2025-OI,2026-03-27,2026-03-31,28.57,5.72,1.945,23.95,Baja,MILPIN-v1.3,aceptada,891.3,1497.38,275.06,Alta,Gravedad -> Microaspersion,0.64,0.38,Deficit acumulado 23.9 mm supera umbral critico. Riego urgente antes de 4 dias para evitar dano.
8ed09051-346e-44cf-a0d3-3d49ac3a640e,PAR-003,CIC-2025-OI,2025-11-20,2025-11-22,21.73,4.05,2.815,18.71,Alta,MILPIN-v2.0,aceptada,678.2,1139.38,209.29,Alta,Gravedad -> Goteo,0.39,0.43,ETo proyectada 4.0 mm/dia (horizonte 7 dias). Kc=0.69 etapa Desarrollo. Aplicar lamina 22 mm.
4b0b3af0-0a6d-4818-83d0-25fb6e8eae7a,PAR-003,CIC-2026-PV,2026-07-02,2026-07-06,24.15,8.19,2.621,17.33,Media,MILPIN-v1.2,aceptada,245.3,412.1,75.7,Baja,Mantener sistema actual,0.8,0.82,ETo proyectada 8.2 mm/dia (horizonte 7 dias). Kc=0.32 etapa Final. Aplicar lamina 24 mm.
21c660c6-17ff-4e15-b903-fa9b9a84aa89,PAR-003,CIC-2026-PV,2026-08-24,2026-08-27,17.23,7.74,2.477,8.22,Media,MILPIN-v1.2,aceptada,175.2,294.34,54.07,Alta,Mantener sistema actual,0.84,0.77,Patron historico + indices climaticos: riego optimo en 2 dias evita estres hidrico en etapa Final.
226bddaf-e9ae-4f90-af4b-cf1bd39a08ac,PAR-003,CIC-2026-PV,2026-05-31,2026-06-01,20.56,8.6,6.106,13.36,Media,MILPIN-v1.2,aceptada,208.8,350.78,64.44,Media,Gravedad -> Microaspersion,0.78,0.84,FAO-56 detecta inicio etapa media con Kc=0.71. Incrementar lamina un 11% respecto evento anterior.
052dc93c-4484-48ed-84a4-89ba317fdbc7,PAR-003,CIC-2026-PV,2026-06-26,2026-07-01,20.63,9.25,3.422,11.8,Baja,MILPIN-v1.3,modificada,209.5,351.96,64.65,Media,Mantener sistema actual,0.86,0.77,ETo proyectada 9.2 mm/dia (horizonte 7 dias). Kc=0.37 etapa Final. Aplicar lamina 21 mm.
ff14cd39-4ebc-48ec-baae-70bd465cb2eb,PAR-003,CIC-2026-PV,2026-10-08,2026-10-13,22.97,4.88,1.61,16.23,Alta,MILPIN-v2.0,aceptada,232.9,391.27,71.87,Baja,Gravedad -> Goteo,0.77,0.77,ETo proyectada 4.9 mm/dia (horizonte 7 dias). Kc=0.33 etapa Final. Aplicar lamina 23 mm.
289e7a39-046a-42c9-a5d7-ce730c3fa345,PAR-003,CIC-2026-PV,2026-08-06,2026-08-08,22.65,7.18,2.441,15.91,Baja,MILPIN-v1.2,aceptada,229.2,385.06,70.73,Alta,Microaspersion -> Goteo,0.74,0.95,Patron historico + indices climaticos: riego optimo en 6 dias evita estres hidrico en etapa Final.
7d153c88-e84b-45a4-abf7-6e01699af743,PAR-003,CIC-2026-PV,2026-05-18,2026-05-23,10.71,8.37,9.542,6.44,Media,MILPIN-v2.0,aceptada,108.8,182.78,33.58,Alta,Gravedad -> Microaspersion,0.8,0.81,Patron historico + indices climaticos: riego optimo en 3 dias evita estres hidrico en etapa Media.
d583772c-ef9b-49b6-83b1-bb925c65ca27,PAR-003,CIC-2026-PV,2026-03-31,2026-04-05,21.12,5.73,3.782,14.77,Baja,MILPIN-v2.0,aceptada,213.9,359.35,66.01,Media,Microaspersion -> Goteo,0.84,0.94,ETo proyectada 5.7 mm/dia (horizonte 7 dias). Kc=0.66 etapa Desarrollo. Aplicar lamina 21 mm.
537675e7-fc65-4b95-8d05-ca457c556ab2,PAR-003,CIC-2026-PV,2026-08-03,2026-08-04,27.67,7.31,2.851,23.71,Baja,MILPIN-v2.0,aceptada,281.1,472.25,86.75,Baja,Gravedad -> Microaspersion,0.81,0.8,Balance hidrico acumulado indica deficit de 23.7 mm. Riego preventivo recomendado en 4 dias.
4dd612c4-9b8b-46ae-96eb-7337805fe5ae,PAR-003,CIC-2026-PV,2026-07-31,2026-08-05,14.31,8.13,3.008,7.58,Media,MILPIN-v1.2,aceptada,145.3,244.1,44.84,Baja,Aspersion -> Goteo,0.86,0.85,ETo proyectada 8.1 mm/dia (horizonte 7 dias). Kc=0.37 etapa Final. Aplicar lamina 14 mm.
0453a225-cf00-4d2d-b2e3-5b42d3b8c34e,PAR-004,CIC-2025-PV,2025-07-22,2025-07-27,30.0,8.02,2.727,25.81,Media,MILPIN-v2.0,rechazada,1309.4,2199.79,404.08,Baja,Gravedad -> Microaspersion,0.68,0.49,Score optimizacion 0.68: migracion Gravedad -> Microaspersion proyecta ahorro 11% consumo anual con payback < 2 ciclos.
37bb54bf-0368-4858-ab92-e1051afb49ce,PAR-004,CIC-2025-PV,2025-09-07,2025-09-11,27.04,6.46,2.326,17.9,Media,MILPIN-v2.0,sin_respuesta,1180.6,1983.41,364.33,Baja,Gravedad -> Microaspersion,0.44,0.72,ETo proyectada 6.5 mm/dia (horizonte 7 dias). Kc=0.36 etapa Final. Aplicar lamina 27 mm.
ef51f939-0293-48cf-8aae-cc45ba364def,PAR-004,CIC-2025-PV,2025-04-03,2025-04-08,22.24,7.25,4.966,15.15,Baja,MILPIN-v2.0,modificada,970.3,1630.1,299.43,Baja,Gravedad -> Goteo,0.66,0.61,FAO-56 detecta inicio etapa media con Kc=0.69. Incrementar lamina un 11% respecto evento anterior.
bf296531-7742-499c-b4c6-5cc593ed6d3a,PAR-004,CIC-2025-OI,2026-04-06,2026-04-11,9.98,7.47,2.839,6.88,Baja,MILPIN-v1.3,rechazada,433.3,727.94,133.72,Alta,Gravedad -> Microaspersion,0.43,0.6,Score optimizacion 0.43: migracion Gravedad -> Microaspersion proyecta ahorro 11% consumo anual con payback < 2 ciclos.
53bb80f9-73ed-43e4-b1eb-b2b1ded26ae1,PAR-004,CIC-2025-OI,2026-02-10,2026-02-14,37.75,4.26,1.576,27.88,Alta,MILPIN-v1.3,aceptada,1648.5,2769.48,508.73,Baja,Mantener sistema actual,0.4,0.45,FAO-56 detecta inicio etapa media con Kc=0.37. Incrementar lamina un 11% respecto evento anterior.
58a3d6f5-e764-4756-b0fe-4af74ca07c1c,PAR-004,CIC-2025-OI,2025-11-23,2025-11-24,36.51,3.88,2.949,27.67,Alta,MILPIN-v2.0,aceptada,1592.0,2674.56,491.29,Baja,Gravedad -> Goteo,0.45,0.74,Deficit acumulado 27.7 mm supera umbral critico. Riego urgente antes de 6 dias para evitar dano.
03792734-8001-47db-af86-e43a3b8a9e08,PAR-004,CIC-2025-OI,2026-04-04,2026-04-06,23.86,7.46,2.835,18.27,Media,MILPIN-v2.0,aceptada,1039.3,1746.02,320.73,Baja,Aspersion -> Goteo,0.67,0.71,Balance hidrico acumulado indica deficit de 18.3 mm. Riego preventivo recomendado en 4 dias.
9a0a067b-12b7-4b76-b0f9-169bb437c0a9,PAR-004,CIC-2026-PV,2026-09-12,2026-09-17,31.33,6.16,2.156,21.6,Alta,MILPIN-v2.0,aceptada,1067.6,1793.57,329.46,Alta,Microaspersion -> Goteo,0.8,0.93,Deficit acumulado 21.6 mm supera umbral critico. Riego urgente antes de 2 dias para evitar dano.
c44f0818-6cc2-4881-9f59-8914561d6290,PAR-004,CIC-2026-PV,2026-04-06,2026-04-11,14.95,7.56,5.897,5.24,Media,MILPIN-v1.2,aceptada,508.7,854.62,156.98,Baja,Gravedad -> Microaspersion,0.96,0.94,Balance hidrico acumulado indica deficit de 5.2 mm. Riego preventivo recomendado en 4 dias.
eac1e707-6c37-4674-8986-6c0b3bd04940,PAR-004,CIC-2026-PV,2026-06-23,2026-06-24,19.3,9.13,3.287,12.55,Media,MILPIN-v1.2,aceptada,659.4,1107.79,203.49,Baja,Gravedad -> Goteo,0.75,0.86,FAO-56 detecta inicio etapa media con Kc=0.36. Incrementar lamina un 9% respecto evento anterior.
95524f17-66ca-46c7-a383-c31402a8234f,PAR-004,CIC-2026-PV,2026-07-02,2026-07-04,35.02,8.28,2.815,26.45,Alta,MILPIN-v2.0,aceptada,1193.2,2004.58,368.22,Media,Microaspersion -> Goteo,0.9,0.79,ETo proyectada 8.3 mm/dia (horizonte 7 dias). Kc=0.34 etapa Final. Aplicar lamina 35 mm.
e10bc251-08d4-4f15-b397-07e70d795825,PAR-004,CIC-2026-PV,2026-07-14,2026-07-19,21.71,7.82,2.659,13.12,Media,MILPIN-v2.0,aceptada,741.0,1244.88,228.67,Media,Microaspersion -> Goteo,0.8,0.74,FAO-56 detecta inicio etapa media con Kc=0.34. Incrementar lamina un 9% respecto evento anterior.
1636ad1e-f8e1-4a76-9ed0-322a05b2fa83,PAR-004,CIC-2026-PV,2026-06-29,2026-07-01,19.5,8.88,2.842,13.87,Baja,MILPIN-v1.3,aceptada,662.5,1113.0,204.45,Alta,Gravedad -> Goteo,0.81,0.87,Patron historico + indices climaticos: riego optimo en 2 dias evita estres hidrico en etapa Final.
f8d1254d-92cf-4021-8190-ac8900d1eec2,PAR-004,CIC-2026-PV,2026-06-14,2026-06-19,21.37,8.74,2.709,16.69,Media,MILPIN-v1.2,aceptada,728.5,1223.88,224.82,Media,Microaspersion -> Goteo,0.93,0.85,Patron historico + indices climaticos: riego optimo en 5 dias evita estres hidrico en etapa Final.
5f5ea6dd-f3a9-4ab6-98d4-61da580ea476,PAR-005,CIC-2025-PV,2025-05-20,2025-05-22,14.34,8.41,10.092,10.86,Alta,MILPIN-v1.2,modificada,1287.3,2162.66,397.26,Media,Microaspersion -> Goteo,0.33,0.54,Deficit acumulado 10.9 mm supera umbral critico. Riego urgente antes de 4 dias para evitar dano.
90eb0b9f-7791-4ac8-a615-2f39002532c6,PAR-005,CIC-2025-PV,2025-07-21,2025-07-24,37.17,7.84,8.718,27.43,Alta,MILPIN-v1.2,aceptada,3334.8,5602.46,1029.12,Media,Aspersion -> Goteo,0.53,0.63,FAO-56 detecta inicio etapa media con Kc=1.11. Incrementar lamina un 28% respecto evento anterior.
d4b7f1b7-5e9b-444a-b95d-f63bc78be8a6,PAR-005,CIC-2025-PV,2025-06-21,2025-06-23,20.43,9.3,11.067,16.71,Media,MILPIN-v1.3,modificada,1833.3,3079.94,565.76,Alta,Mantener sistema actual,0.49,0.64,Optimizacion turno nocturno 22-06 h: reduce evaporacion estimada 12-15%. Deficit actual 16.7 mm.
091d02fd-3834-471a-90c6-8f897cc949e1,PAR-005,CIC-2025-PV,2025-03-11,2025-03-16,20.43,6.21,2.111,14.62,Media,MILPIN-v1.2,modificada,1833.3,3079.94,565.76,Baja,Gravedad -> Goteo,0.57,0.71,ETo proyectada 6.2 mm/dia (horizonte 7 dias). Kc=0.34 etapa Inicial. Aplicar lamina 20 mm.
2eea904c-ddcd-42d2-950f-3eb9d583ad04,PAR-005,CIC-2025-OI,2026-03-31,2026-04-05,22.09,5.84,5.256,12.36,Media,MILPIN-v1.3,aceptada,1982.4,3330.43,611.77,Alta,Mantener sistema actual,0.64,0.65,ETo proyectada 5.8 mm/dia (horizonte 7 dias). Kc=0.90 etapa Final. Aplicar lamina 22 mm.
7423bfb0-0bef-40d1-b4d8-5bb92a4122ea,PAR-005,CIC-2025-OI,2026-02-18,2026-02-21,35.9,4.16,5.117,27.26,Media,MILPIN-v1.3,sin_respuesta,3221.4,5411.95,994.12,Alta,Gravedad -> Microaspersion,0.62,0.75,ETo proyectada 4.2 mm/dia (horizonte 7 dias). Kc=1.23 etapa Media. Aplicar lamina 36 mm.
4f5ecb35-7b34-4d6a-8131-4a2ad4f7115b,PAR-005,CIC-2025-OI,2026-03-25,2026-03-30,21.11,6.28,6.198,16.67,Media,MILPIN-v1.3,rechazada,1894.2,3182.26,584.55,Media,Aspersion -> Goteo,0.46,0.63,Patron historico + indices climaticos: riego optimo en 3 dias evita estres hidrico en etapa Final.
9ab98529-55dc-43a5-8455-03e8d3bc7de0,PAR-005,CIC-2025-OI,2026-02-17,2026-02-18,28.74,4.22,5.191,21.5,Alta,MILPIN-v2.0,modificada,2580.9,4335.91,796.47,Alta,Microaspersion -> Goteo,0.68,0.42,ETo proyectada 4.2 mm/dia (horizonte 7 dias). Kc=1.23 etapa Media. Aplicar lamina 29 mm.
af891c8f-e9a2-451a-ad5d-cded923df109,PAR-005,CIC-2025-OI,2026-02-03,2026-02-05,36.78,4.7,5.593,27.31,Alta,MILPIN-v2.0,aceptada,3299.1,5542.49,1018.1,Baja,Gravedad -> Goteo,0.65,0.7,Balance hidrico acumulado indica deficit de 27.3 mm. Riego preventivo recomendado en 6 dias.
b3723780-1b07-4b6b-ae56-aea319584794,PAR-005,CIC-2026-PV,2026-06-29,2026-07-03,14.57,8.84,10.343,11.43,Baja,MILPIN-v1.2,rechazada,1308.3,2197.94,403.74,Media,Gravedad -> Goteo,0.86,0.85,ETo proyectada 8.8 mm/dia (horizonte 7 dias). Kc=1.17 etapa Media. Aplicar lamina 15 mm.
477fcdf1-6d4a-4885-a4a0-a084123f209a,PAR-005,CIC-2026-PV,2026-06-09,2026-06-11,12.75,9.1,11.193,6.37,Alta,MILPIN-v1.2,aceptada,1144.5,1922.76,353.19,Baja,Gravedad -> Microaspersion,0.87,0.76,Patron historico + indices climaticos: riego optimo en 6 dias evita estres hidrico en etapa Media.
e1b2694a-0bb8-457e-92c0-352ce0a4b9e9,PAR-005,CIC-2026-PV,2026-09-08,2026-09-13,36.67,6.67,4.669,27.61,Alta,MILPIN-v1.2,aceptada,3292.8,5531.9,1016.16,Alta,Microaspersion -> Goteo,0.76,0.79,Score optimizacion 0.76: migracion Microaspersion -> Goteo proyecta ahorro 28% consumo anual con payback < 2 ciclos.
53293baf-01e8-4b55-b4e6-3f3287c3b450,PAR-005,CIC-2026-PV,2026-05-19,2026-05-20,24.35,8.77,10.2,19.85,Alta,MILPIN-v2.0,aceptada,2184.0,3669.12,673.98,Media,Aspersion -> Goteo,0.92,0.76,Patron historico + indices climaticos: riego optimo en 4 dias evita estres hidrico en etapa Desarrollo.
