id_recomendacion,id_parcela,id_cultivo,fecha_generacion,fecha_riego_sugerida,lamina_recomendada_mm,eto_referencia,etc_calculada,deficit_acumulado_mm,dias_sin_riego,nivel_urgencia,algoritmo_version,aceptada,lamina_ejecutada_mm,parametros_json
e3abcf41-1282-490f-9ab6-10bfaa4888bc,f5e9869b-8f02-4e9f-a7b5-75fac2f4e647,665d7746-fa81-4c11-a29f-d5ad07de4cda,2022-10-19T21:29:57+00:00,2022-10-26,39.46,4.999,3.63,21.41,14,preventivo,fao56-v0.2,aceptada,39.46,"{""eto_mm"": 4.999, ""kc"": 0.726, ""cultivo"": ""Chile"", ""humedad_suelo_pct"": 0.352, ""profundidad_raiz_cm"": 99}"
5ada322f-7600-4d84-a3fe-266b03057cd9,f5e9869b-8f02-4e9f-a7b5-75fac2f4e647,dfdc996a-824e-42d0-8b0d-5e1d805bcf95,2025-06-13T08:57:57+00:00,2025-06-17,90.55,8.582,5.904,104.69,7,critico,fao56-v0.2,aceptada,90.55,"{""eto_mm"": 8.582, ""kc"": 0.688, ""cultivo"": ""Uva"", ""humedad_suelo_pct"": 0.185, ""profundidad_raiz_cm"": 99}"
7df27b2a-fd83-45d3-bb83-fe830ef7880c,f5e9869b-8f02-4e9f-a7b5-75fac2f4e647,edc7409e-c2e5-4acd-be6f-1b9a453768c3,2025-05-25T14:07:57+00:00,2025-05-29,41.99,6.973,3.545,19.78,8,preventivo,fao56-v0.2,aceptada,41.99,"{""eto_mm"": 6.973, ""kc"": 0.508, ""cultivo"": ""Frijol"", ""humedad_suelo_pct"": 0.208, ""profundidad_raiz_cm"": 99}"
5ac0f880-d850-447b-ae06-b0ceb41f4790,f5e9869b-8f02-4e9f-a7b5-75fac2f4e647,0543177f-a27b-4e03-94fc-b67cd11c1346,2022-08-07T06:39:57+00:00,2022-08-13,59.5,3.559,1.669,42.07,13,moderado,fao56-v0.2,aceptada,59.50,"{""eto_mm"": 3.559, ""kc"": 0.469, ""cultivo"": ""Algodón"", ""humedad_suelo_pct"": 0.377, ""profundidad_raiz_cm"": 99}"
aae10040-06e0-4453-9647-b9fa3f1607a9,f5e9869b-8f02-4e9f-a7b5-75fac2f4e647,665d7746-fa81-4c11-a29f-d5ad07de4cda,2023-11-29T18:46:57+00:00,2023-12-04,52.02,6.21,5.153,97.04,17,critico,fao56-v0.2,aceptada,52.02,"{""eto_mm"": 6.21, ""kc"": 0.83, ""cultivo"": ""Chile"", ""humedad_suelo_pct"": 0.199, ""profundidad_raiz_cm"": 99}"
fd3022e5-e2e4-4101-bd0f-e399d03f8edd,f5e9869b-8f02-4e9f-a7b5-75fac2f4e647,0543177f-a27b-4e03-94fc-b67cd11c1346,2023-04-03T13:36:57+00:00,2023-04-05,41.07,7.913,7.158,40.27,5,moderado,fao56-v0.2,aceptada,41.07,"{""eto_mm"": 7.913, ""kc"": 0.905, ""cultivo"": ""Algodón"", ""humedad_suelo_pct"": 0.197, ""profundidad_raiz_cm"": 99}"
210202a9-aaaf-4bb2-80fd-1fe73dcd7c58,f5e9869b-8f02-4e9f-a7b5-75fac2f4e647,0543177f-a27b-4e03-94fc-b67cd11c1346,2026-04-16T01:52:57+00:00,2026-04-17,76.14,8.532,8.454,13.73,12,preventivo,fao56-v0.2,aceptada,76.14,"{""eto_mm"": 8.532, ""kc"": 0.991, ""cultivo"": ""Algodón"", ""humedad_suelo_pct"": 0.174, ""profundidad_raiz_cm"": 99}"
cba7c479-d18f-4794-a206-24c4d0851baa,f5e9869b-8f02-4e9f-a7b5-75fac2f4e647,0543177f-a27b-4e03-94fc-b67cd11c1346,2026-04-06T12:02:57+00:00,2026-04-09,21.74,6.648,2.43,89.94,4,critico,fao56-v0.2,modificada,24.54,"{""eto_mm"": 6.648, ""kc"": 0.366, ""cultivo"": ""Algodón"", ""humedad_suelo_pct"": 0.236, ""profundidad_raiz_cm"": 99}"
c5353c25-0c01-498b-8707-d01cc9c98c2d,f5e9869b-8f02-4e9f-a7b5-75fac2f4e647,08335fd5-4745-4f08-bba5-eae27b47214f,2025-10-31T10:05:57+00:00,2025-11-07,95.26,10.829,3.294,34.15,12,moderado,fao56-v0.2,modificada,111.31,"{""eto_mm"": 10.829, ""kc"": 0.304, ""cultivo"": ""Maíz"", ""humedad_suelo_pct"": 0.397, ""profundidad_raiz_cm"": 99}"
ee8910d2-d5c0-48a3-b53b-f3f52b27497f,f5e9869b-8f02-4e9f-a7b5-75fac2f4e647,08335fd5-4745-4f08-bba5-eae27b47214f,2024-12-30T23:16:57+00:00,2025-01-01,83.78,9.519,10.126,36.71,16,moderado,fao56-v0.2,pendiente,,"{""eto_mm"": 9.519, ""kc"": 1.064, ""cultivo"": ""Maíz"", ""humedad_suelo_pct"": 0.221, ""profundidad_raiz_cm"": 99}"
2b49499a-55be-4fce-ad80-fafe0bc879e2,f5e9869b-8f02-4e9f-a7b5-75fac2f4e647,08335fd5-4745-4f08-bba5-eae27b47214f,2022-04-03T16:47:57+00:00,2022-04-10,84.32,6.358,4.688,40.22,14,moderado,fao56-v0.2,aceptada,84.32,"{""eto_mm"": 6.358, ""kc"": 0.737, ""cultivo"": ""Maíz"", ""humedad_suelo_pct"": 0.272, ""profundidad_raiz_cm"": 99}"
424bd2c0-7828-463c-9a05-aea61b237509,f5e9869b-8f02-4e9f-a7b5-75fac2f4e647,0543177f-a27b-4e03-94fc-b67cd11c1346,2022-12-10T14:59:57+00:00,2022-12-16,129.87,8.875,3.152,70.61,6,moderado,fao56-v0.2,modificada,150.80,"{""eto_mm"": 8.875, ""kc"": 0.355, ""cultivo"": ""Algodón"", ""humedad_suelo_pct"": 0.18, ""profundidad_raiz_cm"": 99}"
31f0105c-33a4-4fde-b763-d7ffc4601713,f5e9869b-8f02-4e9f-a7b5-75fac2f4e647,edc7409e-c2e5-4acd-be6f-1b9a453768c3,2025-09-13T17:10:57+00:00,2025-09-19,64.75,11.834,5.464,28.84,4,preventivo,fao56-v0.2,aceptada,64.75,"{""eto_mm"": 11.834, ""kc"": 0.462, ""cultivo"": ""Frijol"", ""humedad_suelo_pct"": 0.178, ""profundidad_raiz_cm"": 99}"
6c1a0b3a-5300-46ef-ac4c-e011b29f2e43,f5e9869b-8f02-4e9f-a7b5-75fac2f4e647,edc7409e-c2e5-4acd-be6f-1b9a453768c3,2025-06-02T04:40:57+00:00,2025-06-09,54.35,11.901,7.293,26.98,17,preventivo,fao56-v0.2,aceptada,54.35,"{""eto_mm"": 11.901, ""kc"": 0.613, ""cultivo"": ""Frijol"", ""humedad_suelo_pct"": 0.238, ""profundidad_raiz_cm"": 99}"
673d43bc-be69-4d85-b080-02b1371859f2,f5e9869b-8f02-4e9f-a7b5-75fac2f4e647,0543177f-a27b-4e03-94fc-b67cd11c1346,2022-04-23T22:18:57+00:00,2022-04-30,66.39,3.93,1.978,21.93,14,preventivo,fao56-v0.2,modificada,77.21,"{""eto_mm"": 3.93, ""kc"": 0.503, ""cultivo"": ""Algodón"", ""humedad_suelo_pct"": 0.346, ""profundidad_raiz_cm"": 99}"
9064cab9-1885-441e-8781-37e7f22806db,f5e9869b-8f02-4e9f-a7b5-75fac2f4e647,dfdc996a-824e-42d0-8b0d-5e1d805bcf95,2023-02-15T01:10:57+00:00,2023-02-22,35.62,4.684,1.793,35.49,17,moderado,fao56-v0.2,pendiente,,"{""eto_mm"": 4.684, ""kc"": 0.383, ""cultivo"": ""Uva"", ""humedad_suelo_pct"": 0.287, ""profundidad_raiz_cm"": 99}"
9893fb3c-c1c9-4a19-ade6-6a9c7d5628d9,f5e9869b-8f02-4e9f-a7b5-75fac2f4e647,edc7409e-c2e5-4acd-be6f-1b9a453768c3,2024-10-29T19:29:57+00:00,2024-11-02,47.01,10.712,4.426,25.59,14,preventivo,fao56-v0.2,aceptada,47.01,"{""eto_mm"": 10.712, ""kc"": 0.413, ""cultivo"": ""Frijol"", ""humedad_suelo_pct"": 0.217, ""profundidad_raiz_cm"": 99}"
da9a35cf-a232-48cc-a56d-77b92c7ed6f1,f5e9869b-8f02-4e9f-a7b5-75fac2f4e647,665d7746-fa81-4c11-a29f-d5ad07de4cda,2022-03-14T18:10:57+00:00,2022-03-20,20.89,4.354,4.084,107.42,17,critico,fao56-v0.2,pendiente,,"{""eto_mm"": 4.354, ""kc"": 0.938, ""cultivo"": ""Chile"", ""humedad_suelo_pct"": 0.337, ""profundidad_raiz_cm"": 99}"
7000dc56-10a9-4533-82d8-c9c1c43ad8a1,f5e9869b-8f02-4e9f-a7b5-75fac2f4e647,08335fd5-4745-4f08-bba5-eae27b47214f,2025-12-24T16:25:57+00:00,2025-12-30,97.58,3.694,4.231,56.34,15,moderado,fao56-v0.2,pendiente,,"{""eto_mm"": 3.694, ""kc"": 1.145, ""cultivo"": ""Maíz"", ""humedad_suelo_pct"": 0.198, ""profundidad_raiz_cm"": 99}"
777e2855-976c-442e-8058-8af8020c2dde,f5e9869b-8f02-4e9f-a7b5-75fac2f4e647,0543177f-a27b-4e03-94fc-b67cd11c1346,2025-09-03T05:33:57+00:00,2025-09-10,14.81,5.785,5.392,47.68,15,moderado,fao56-v0.2,aceptada,14.81,"{""eto_mm"": 5.785, ""kc"": 0.932, ""cultivo"": ""Algodón"", ""humedad_suelo_pct"": 0.257, ""profundidad_raiz_cm"": 99}"
18da6df3-266e-4ea5-af80-393384a28823,f5e9869b-8f02-4e9f-a7b5-75fac2f4e647,665d7746-fa81-4c11-a29f-d5ad07de4cda,2022-09-24T15:35:57+00:00,2022-09-26,21.38,8.051,7.54,43.5,12,moderado,fao56-v0.2,modificada,16.65,"{""eto_mm"": 8.051, ""kc"": 0.937, ""cultivo"": ""Chile"", ""humedad_suelo_pct"": 0.226, ""profundidad_raiz_cm"": 99}"
8e02212e-bc5d-41d9-ad68-485f85b7c47d,f5e9869b-8f02-4e9f-a7b5-75fac2f4e647,edc7409e-c2e5-4acd-be6f-1b9a453768c3,2024-01-20T05:44:57+00:00,2024-01-26,42.57,6.744,4.183,89.79,5,critico,fao56-v0.2,aceptada,42.57,"{""eto_mm"": 6.744, ""kc"": 0.62, ""cultivo"": ""Frijol"", ""humedad_suelo_pct"": 0.228, ""profundidad_raiz_cm"": 99}"
5ec0c615-b3b2-4e71-bf8d-b1fe7d63449c,f5e9869b-8f02-4e9f-a7b5-75fac2f4e647,0543177f-a27b-4e03-94fc-b67cd11c1346,2024-05-23T05:16:57+00:00,2024-05-30,11.41,5.374,5.783,39.15,13,moderado,fao56-v0.2,ignorada,,"{""eto_mm"": 5.374, ""kc"": 1.076, ""cultivo"": ""Algodón"", ""humedad_suelo_pct"": 0.304, ""profundidad_raiz_cm"": 99}"
2a203766-f81c-40f7-a888-9464af923791,f5e9869b-8f02-4e9f-a7b5-75fac2f4e647,edc7409e-c2e5-4acd-be6f-1b9a453768c3,2025-02-17T14:07:57+00:00,2025-02-23,27.22,5.314,4.341,38.07,14,moderado,fao56-v0.2,ignorada,,"{""eto_mm"": 5.314, ""kc"": 0.817, ""cultivo"": ""Frijol"", ""humedad_suelo_pct"": 0.295, ""profundidad_raiz_cm"": 99}"
6ea337e9-f5e5-4a5c-ae34-f6d61be8a8ed,f5e9869b-8f02-4e9f-a7b5-75fac2f4e647,dfdc996a-824e-42d0-8b0d-5e1d805bcf95,2024-08-31T23:58:57+00:00,2024-09-07,37.58,5.219,4.145,114.86,17,critico,fao56-v0.2,aceptada,37.58,"{""eto_mm"": 5.219, ""kc"": 0.794, ""cultivo"": ""Uva"", ""humedad_suelo_pct"": 0.324, ""profundidad_raiz_cm"": 99}"
eaad0b71-08d9-4f1c-9010-8c713d1c9547,f5e9869b-8f02-4e9f-a7b5-75fac2f4e647,665d7746-fa81-4c11-a29f-d5ad07de4cda,2024-06-18T14:53:57+00:00,2024-06-22,77.85,4.801,3.914,4.92,12,preventivo,fao56-v0.2,pendiente,,"{""eto_mm"": 4.801, ""kc"": 0.815, ""cultivo"": ""Chile"", ""humedad_suelo_pct"": 0.16, ""profundidad_raiz_cm"": 99}"
665b6277-d418-4068-be88-4a28ab496300,f5e9869b-8f02-4e9f-a7b5-75fac2f4e647,0543177f-a27b-4e03-94fc-b67cd11c1346,2024-04-04T03:02:57+00:00,2024-04-11,31.75,7.744,3.06,74.91,14,moderado,fao56-v0.2,aceptada,31.75,"{""eto_mm"": 7.744, ""kc"": 0.395, ""cultivo"": ""Algodón"", ""humedad_suelo_pct"": 0.291, ""profundidad_raiz_cm"": 99}"
a2377d98-ca77-4777-8628-38ba4dc16c46,f5e9869b-8f02-4e9f-a7b5-75fac2f4e647,edc7409e-c2e5-4acd-be6f-1b9a453768c3,2024-04-18T19:45:57+00:00,2024-04-20,60.5,9.217,10.316,47.4,10,moderado,fao56-v0.2,modificada,69.50,"{""eto_mm"": 9.217, ""kc"": 1.119, ""cultivo"": ""Frijol"", ""humedad_suelo_pct"": 0.178, ""profundidad_raiz_cm"": 99}"
e31018ce-5d34-42a8-81eb-706af0e57555,f5e9869b-8f02-4e9f-a7b5-75fac2f4e647,665d7746-fa81-4c11-a29f-d5ad07de4cda,2026-01-14T05:25:57+00:00,2026-01-20,67.52,5.777,3.665,26.22,7,preventivo,fao56-v0.2,aceptada,67.52,"{""eto_mm"": 5.777, ""kc"": 0.634, ""cultivo"": ""Chile"", ""humedad_suelo_pct"": 0.186, ""profundidad_raiz_cm"": 99}"
45ac322a-a78d-4c08-9bf5-0c9dfd7e3537,f5e9869b-8f02-4e9f-a7b5-75fac2f4e647,dfdc996a-824e-42d0-8b0d-5e1d805bcf95,2022-01-07T16:16:57+00:00,2022-01-11,140.8,6.535,5.021,20.7,11,preventivo,fao56-v0.2,aceptada,140.80,"{""eto_mm"": 6.535, ""kc"": 0.768, ""cultivo"": ""Uva"", ""humedad_suelo_pct"": 0.262, ""profundidad_raiz_cm"": 99}"
c6cdcae8-b68e-4f29-a066-eab65dda3bfa,f5e9869b-8f02-4e9f-a7b5-75fac2f4e647,edc7409e-c2e5-4acd-be6f-1b9a453768c3,2021-08-23T03:10:57+00:00,2021-08-24,101.21,5.216,5.473,95.94,10,critico,fao56-v0.2,modificada,120.61,"{""eto_mm"": 5.216, ""kc"": 1.049, ""cultivo"": ""Frijol"", ""humedad_suelo_pct"": 0.308, ""profundidad_raiz_cm"": 99}"
797ecec0-18d0-4bfa-a7fc-fbe918b1a781,f5e9869b-8f02-4e9f-a7b5-75fac2f4e647,0543177f-a27b-4e03-94fc-b67cd11c1346,2022-10-31T18:58:57+00:00,2022-11-06,107.83,3.555,3.072,62.45,8,moderado,fao56-v0.2,aceptada,107.83,"{""eto_mm"": 3.555, ""kc"": 0.864, ""cultivo"": ""Algodón"", ""humedad_suelo_pct"": 0.369, ""profundidad_raiz_cm"": 99}"
9cf35044-ed0d-4900-807a-f60965643f2f,f5e9869b-8f02-4e9f-a7b5-75fac2f4e647,665d7746-fa81-4c11-a29f-d5ad07de4cda,2022-05-09T05:18:57+00:00,2022-05-14,61.72,2.473,1.75,67.54,16,moderado,fao56-v0.2,modificada,57.44,"{""eto_mm"": 2.473, ""kc"": 0.708, ""cultivo"": ""Chile"", ""humedad_suelo_pct"": 0.266, ""profundidad_raiz_cm"": 99}"
f2fe34b9-ba87-46b2-842b-c971fdf21f69,f5e9869b-8f02-4e9f-a7b5-75fac2f4e647,dfdc996a-824e-42d0-8b0d-5e1d805bcf95,2023-01-24T17:26:57+00:00,2023-01-30,72.01,4.012,3.088,78.37,7,moderado,fao56-v0.2,aceptada,72.01,"{""eto_mm"": 4.012, ""kc"": 0.77, ""cultivo"": ""Uva"", ""humedad_suelo_pct"": 0.19, ""profundidad_raiz_cm"": 99}"
579ecd1c-b61e-4614-b335-47c52497e0f6,f5e9869b-8f02-4e9f-a7b5-75fac2f4e647,edc7409e-c2e5-4acd-be6f-1b9a453768c3,2024-06-11T09:10:57+00:00,2024-06-15,41.74,10.312,9.632,57.82,8,moderado,fao56-v0.2,aceptada,41.74,"{""eto_mm"": 10.312, ""kc"": 0.934, ""cultivo"": ""Frijol"", ""humedad_suelo_pct"": 0.34, ""profundidad_raiz_cm"": 99}"
5c3d652b-7159-4913-84d4-5965ba8bd5cb,f5e9869b-8f02-4e9f-a7b5-75fac2f4e647,0543177f-a27b-4e03-94fc-b67cd11c1346,2021-07-15T16:35:57+00:00,2021-07-17,78.41,6.889,5.238,5.21,9,preventivo,fao56-v0.2,pendiente,,"{""eto_mm"": 6.889, ""kc"": 0.76, ""cultivo"": ""Algodón"", ""humedad_suelo_pct"": 0.155, ""profundidad_raiz_cm"": 99}"
6809d97b-0b4b-44cb-a1af-e111e9080691,f5e9869b-8f02-4e9f-a7b5-75fac2f4e647,edc7409e-c2e5-4acd-be6f-1b9a453768c3,2025-09-29T11:59:57+00:00,2025-10-06,80.42,10.226,5.381,102.74,11,critico,fao56-v0.2,aceptada,80.42,"{""eto_mm"": 10.226, ""kc"": 0.526, ""cultivo"": ""Frijol"", ""humedad_suelo_pct"": 0.29, ""profundidad_raiz_cm"": 99}"
83a40f98-7531-4f5b-a6cf-5d9746946a03,f5e9869b-8f02-4e9f-a7b5-75fac2f4e647,08335fd5-4745-4f08-bba5-eae27b47214f,2023-10-25T11:24:57+00:00,2023-10-31,94.66,8.027,5.774,52.8,17,moderado,fao56-v0.2,aceptada,94.66,"{""eto_mm"": 8.027, ""kc"": 0.719, ""cultivo"": ""Maíz"", ""humedad_suelo_pct"": 0.259, ""profundidad_raiz_cm"": 99}"
938bd4d8-34ee-4f8b-a86a-5eab677b3dc3,f5e9869b-8f02-4e9f-a7b5-75fac2f4e647,08335fd5-4745-4f08-bba5-eae27b47214f,2024-07-05T00:23:57+00:00,2024-07-12,54.63,8.956,6.123,47.97,10,moderado,fao56-v0.2,ignorada,,"{""eto_mm"": 8.956, ""kc"": 0.684, ""cultivo"": ""Maíz"", ""humedad_suelo_pct"": 0.346, ""profundidad_raiz_cm"": 99}"
f7be6c37-5735-4fd8-af1a-7054f2404d82,f5e9869b-8f02-4e9f-a7b5-75fac2f4e647,08335fd5-4745-4f08-bba5-eae27b47214f,2022-05-29T19:51:57+00:00,2022-06-01,31.1,4.748,3.485,112.67,16,critico,fao56-v0.2,pendiente,,"{""eto_mm"": 4.748, ""kc"": 0.734, ""cultivo"": ""Maíz"", ""humedad_suelo_pct"": 0.249, ""profundidad_raiz_cm"": 99}"
698ee723-72b5-480b-832a-ea1cceef57ff,f5e9869b-8f02-4e9f-a7b5-75fac2f4e647,08335fd5-4745-4f08-bba5-eae27b47214f,2023-03-26T00:46:57+00:00,2023-03-27,71.26,8.31,8.029,5.09,10,preventivo,fao56-v0.2,pendiente,,"{""eto_mm"": 8.31, ""kc"": 0.966, ""cultivo"": ""Maíz"", ""humedad_suelo_pct"": 0.186, ""profundidad_raiz_cm"": 99}"
4b5dd03d-a5da-4310-b2f8-f3f4492a46b8,f5e9869b-8f02-4e9f-a7b5-75fac2f4e647,665d7746-fa81-4c11-a29f-d5ad07de4cda,2023-06-27T22:16:57+00:00,2023-06-30,57.12,8.822,6.338,25.09,8,preventivo,fao56-v0.2,aceptada,57.12,"{""eto_mm"": 8.822, ""kc"": 0.718, ""cultivo"": ""Chile"", ""humedad_suelo_pct"": 0.248, ""profundidad_raiz_cm"": 99}"
f6da7b2f-0765-4c14-b5dc-48eb4178feca,f5e9869b-8f02-4e9f-a7b5-75fac2f4e647,0543177f-a27b-4e03-94fc-b67cd11c1346,2023-05-01T23:42:57+00:00,2023-05-04,66.45,5.558,2.837,49.39,6,moderado,fao56-v0.2,modificada,70.83,"{""eto_mm"": 5.558, ""kc"": 0.51, ""cultivo"": ""Algodón"", ""humedad_suelo_pct"": 0.226, ""profundidad_raiz_cm"": 99}"
c6346cd1-3501-4170-b272-baac9fed9ca1,f5e9869b-8f02-4e9f-a7b5-75fac2f4e647,665d7746-fa81-4c11-a29f-d5ad07de4cda,2024-04-17T12:12:57+00:00,2024-04-18,50.25,8.399,6.793,97.19,10,critico,fao56-v0.2,aceptada,50.25,"{""eto_mm"": 8.399, ""kc"": 0.809, ""cultivo"": ""Chile"", ""humedad_suelo_pct"": 0.364, ""profundidad_raiz_cm"": 99}"
fe1d59c2-b38a-4771-a07b-5fba18f3a031,f5e9869b-8f02-4e9f-a7b5-75fac2f4e647,665d7746-fa81-4c11-a29f-d5ad07de4cda,2025-07-23T02:07:57+00:00,2025-07-27,64.98,8.415,7.168,76.62,7,moderado,fao56-v0.2,pendiente,,"{""eto_mm"": 8.415, ""kc"": 0.852, ""cultivo"": ""Chile"", ""humedad_suelo_pct"": 0.233, ""profundidad_raiz_cm"": 99}"
3df3e03e-a676-4d3a-9cb3-91e168ceb1eb,f5e9869b-8f02-4e9f-a7b5-75fac2f4e647,0543177f-a27b-4e03-94fc-b67cd11c1346,2023-02-01T00:50:57+00:00,2023-02-03,50.21,5.626,5.937,29.6,11,preventivo,fao56-v0.2,aceptada,50.21,"{""eto_mm"": 5.626, ""kc"": 1.055, ""cultivo"": ""Algodón"", ""humedad_suelo_pct"": 0.367, ""profundidad_raiz_cm"": 99}"
d3d6d47e-19f9-4e39-a583-9ba8bc62c08b,f5e9869b-8f02-4e9f-a7b5-75fac2f4e647,08335fd5-4745-4f08-bba5-eae27b47214f,2025-09-10T06:52:57+00:00,2025-09-12,45.45,4.193,3.074,91.04,14,critico,fao56-v0.2,pendiente,,"{""eto_mm"": 4.193, ""kc"": 0.733, ""cultivo"": ""Maíz"", ""humedad_suelo_pct"": 0.154, ""profundidad_raiz_cm"": 99}"
632e9ee9-1194-4b35-a117-12f266692248,f5e9869b-8f02-4e9f-a7b5-75fac2f4e647,665d7746-fa81-4c11-a29f-d5ad07de4cda,2025-03-11T10:26:57+00:00,2025-03-17,45.41,4.04,3.659,65.48,9,moderado,fao56-v0.2,aceptada,45.41,"{""eto_mm"": 4.04, ""kc"": 0.906, ""cultivo"": ""Chile"", ""humedad_suelo_pct"": 0.216, ""profundidad_raiz_cm"": 99}"
ab438b0c-c487-4609-a791-070a83d4d298,f5e9869b-8f02-4e9f-a7b5-75fac2f4e647,08335fd5-4745-4f08-bba5-eae27b47214f,2024-02-01T04:49:57+00:00,2024-02-04,19.39,7.216,2.343,45.2,5,moderado,fao56-v0.2,pendiente,,"{""eto_mm"": 7.216, ""kc"": 0.325, ""cultivo"": ""Maíz"", ""humedad_suelo_pct"": 0.358, ""profundidad_raiz_cm"": 99}"
8bb794dd-0d59-488f-a76b-d5937b263ae3,f5e9869b-8f02-4e9f-a7b5-75fac2f4e647,08335fd5-4745-4f08-bba5-eae27b47214f,2025-03-14T05:54:57+00:00,2025-03-16,80.21,7.818,4.092,36.11,6,moderado,fao56-v0.2,modificada,97.64,"{""eto_mm"": 7.818, ""kc"": 0.523, ""cultivo"": ""Maíz"", ""humedad_suelo_pct"": 0.289, ""profundidad_raiz_cm"": 99}"
